point_id,point_name,onset_class,merge_S0_S1,merge_S1_S2,merge_S2_S3
AJ01,安吉安城,K,0.8385,0.019,0.1141
AJ01,安吉安城,M,0.0741,0.4,0.125
AJ01,安吉安城,N,,,0.3529
AJ01,安吉安城,P,0.3711,0.0455,0.8571
AJ01,安吉安城,T,,,0.275
AJ01,安吉安城,TS,0.0956,0.5,0.4018
AJ01,安吉安城,Ø,0.0,0.0,0.619
BL01,北仑城关,K,0.0559,0.0185,0.0
BL01,北仑城关,M,0.0,0.0,0.75
BL01,北仑城关,N,,,0.0588
BL01,北仑城关,P,0.0,0.0276,0.0
BL01,北仑城关,T,,,0.0
BL01,北仑城关,TS,0.0435,0.0625,0.1429
BL01,北仑城关,Ø,0.0,0.0,0.0
BS01,宝山,K,0.5901,0.0,0.6667
BS01,宝山,M,0.0123,0.0,0.6
BS01,宝山,N,,,0.4444
BS01,宝山,P,0.0055,0.0,0.7273
BS01,宝山,T,,,0.6
BS01,宝山,TS,0.1344,0.0,0.5
BS01,宝山,Ø,0.0,0.0,0.5714
CM01,崇明城关,K,0.5485,0.0,0.7039
CM01,崇明城关,M,0.0123,0.0,0.6
CM01,崇明城关,N,,,0.6358
CM01,崇明城关,P,0.0611,0.0,0.7273
CM01,崇明城关,T,,,0.8109
CM01,崇明城关,TS,0.1406,0.0,0.6634
CM01,崇明城关,Ø,0.0,0.0,0.619
CS01,川沙浦东,K,0.6916,0.0,0.7222
CS01,川沙浦东,M,0.0123,0.0,0.6
CS01,川沙浦东,N,,,0.5
CS01,川沙浦东,P,0.0055,0.0,0.7273
CS01,川沙浦东,T,,,0.525
CS01,川沙浦东,TS,0.1344,0.0,0.75
CS01,川沙浦东,Ø,0.0,0.0,0.6667
CS02,常熟虞山镇,K,0.4907,0.0,0.031
CS02,常熟虞山镇,M,0.0123,0.6,0.375
CS02,常熟虞山镇,N,,,0.5556
CS02,常熟虞山镇,P,0.0138,0.5249,0.6364
CS02,常熟虞山镇,T,,,0.625
CS02,常熟虞山镇,TS,0.2036,0.0654,0.6991
CS02,常熟虞山镇,Ø,0.0,0.0,0.0
CX01,慈溪逍林,K,0.1417,0.0,0.0475
CX01,慈溪逍林,M,0.0,0.0,0.75
CX01,慈溪逍林,N,,,0.0
CX01,慈溪逍林,P,0.0055,0.0055,0.0
CX01,慈溪逍林,T,,,0.0278
CX01,慈溪逍林,TS,0.1911,0.25,0.2143
CX01,慈溪逍林,Ø,0.1212,0.0476,0.0
CZ01,常州,K,0.1273,0.0,0.0
CZ01,常州,M,0.0741,0.2,0.5
CZ01,常州,N,,,0.0
CZ01,常州,P,0.0611,0.0,0.0
CZ01,常州,T,,,0.0278
CZ01,常州,TS,0.1344,0.0,0.1429
CZ01,常州,Ø,0.1515,0.0,0.0
DB01,郎溪梅渚镇定埠,K,0.0373,0.0,0.0
DB01,郎溪梅渚镇定埠,M,0.0,0.0,0.75
DB01,郎溪梅渚镇定埠,N,,,0.0
DB01,郎溪梅渚镇定埠,P,0.2222,0.0,0.0
DB01,郎溪梅渚镇定埠,T,,,0.5
DB01,郎溪梅渚镇定埠,TS,0.0909,0.0,0.2143
DB01,郎溪梅渚镇定埠,Ø,0.0,0.0,0.0
DQ01,德清乾元,K,0.7329,0.037,0.644
