source,target,edge_type,acoustic_distance,perceptual_distance,edge_cost,pheromone,normalized_pheromone,total_deposit,normalized_deposit
ɑ,ɔ,main_chain,0.86,1.05,0.42951219512195127,10.385963285135663,1.0,303.43091997499346,1.0
ɔ,o,main_chain,0.64,0.72,0.38209302325581396,9.410809976913884,0.9061085350053746,277.04392229113233,0.91303787469637
a,ɑ,main_chain,0.78,0.74,0.4682758620689656,5.143279529669517,0.49521449175836696,157.7806217924792,0.5199886082983314
o,ɷ,main_chain,0.38,0.36,0.2994117647058824,3.793940255761141,0.36529498050421655,116.63065462548025,0.3843730053453092
u,əu,core_split,0.72,1.62,0.2948091603053435,3.588572559400082,0.34552139853373337,111.91578843473178,0.3688344893920338
ɷ,u,main_chain,0.42,0.42,0.31577464788732396,3.4015070380566987,0.32751001950150527,104.43105664918701,0.3441674851653004
o,ɤ,unrounded_branch,0.6,0.58,0.43974683544303794,0.5518550640490836,0.05313470199137866,18.047043611991214,0.0594766137000096
o,ou,split_variant,0.62,1.18,0.34440366972477066,0.31663727735492514,0.03048703992706144,9.832277693565176,0.032403677563168184
ɔ,ʌ,posterior_branch,0.52,0.48,0.41135135135135137,0.2579757213282542,0.024838882465285404,8.688923054238426,0.028635588802072325
ɔ,ə,centralization,0.88,0.62,0.6432098765432099,0.22543689186584645,0.021705920353915612,6.277279418625797,0.02068767223572049
ɤ,ɤɯ,split_neighbor,0.6,1.08,0.34846153846153843,0.22395220655210327,0.02156296921178438,6.79750732639702,0.022402157719975342
ə,əɯ,split_neighbor,0.6,1.08,0.34846153846153843,0.21695577106771152,0.020889325824809866,6.672466710456208,0.02199006848414164
ɤ,ɯ,unrounded_branch,0.66,0.64,0.45243902439024386,0.13102163126794633,0.012615260392405181,5.128774816354421,0.016902611035082046
ʌ,ə,centralization,0.56,0.5,0.45333333333333337,0.11888422023489814,0.01144662434971676,4.359851118997092,0.014368513002420449
ʌ,ʌɯ,split_neighbor,0.68,1.02,0.39663366336633665,0.07367392488744601,0.007093605365704281,2.294654966973174,0.007562363674612602
ʌ,ʌɤ,split_neighbor,0.62,0.94,0.3795876288659794,0.0635231636487534,0.006116251512237428,1.9754417129636153,0.006510350735272518
ɯ,u,rounding_link,0.56,0.62,0.40567901234567905,0.04480794791129805,0.004314279444394624,2.3193853137212983,0.0076438660697876306
ɯ,ɤɯ,split_neighbor,0.68,0.98,0.4234343434343435,0.013323696350434209,0.0012828560995880869,0.5441050119442542,0.001793175896474543
ɑ,o,long_jump,1.62,1.2,0.8763636363636363,9.536914229258573e-08,9.182503314745736e-09,15.041652277712611,0.04957191666212604
ɒ,ɔ,side_variant,0.74,0.82,0.45659340659340664,1.3032734529869414e-12,1.254841190178459e-13,1.5161993663255602,0.004996851891199862
ɑ,ɒ,side_variant,0.44,0.36,0.3835294117647059,1.3032734529869414e-12,1.254841190178459e-13,1.5161993663255602,0.004996851891199862
a,ɔ,long_jump,1.58,1.12,0.9052830188679245,5.792346802926692e-13,5.5770915454868486e-14,2.3715123355315693,0.007815658126492224
