candidate_nucleus,observed_token_count,predicted_token_count,point_count_observed,observed_share,predicted_share
ɔ,3974,3529.5252711674043,46,0.7786050156739812,0.691521408927783
ɒ,516,926.0465815454861,7,0.10109717868338558,0.18143545876674885
æ,188,4.215615794839344,2,0.03683385579937304,0.0008259435334716583
ʌ,183,76.37381595472857,2,0.03585423197492163,0.014963521934703874
ɐ,89,29.742316999962906,1,0.01743730407523511,0.005827256465509974
ɜ,85,26.942222336774993,1,0.01665360501567398,0.005278648576954348
ə,45,26.46369976561083,2,0.008816614420062695,0.005184894154704316
a,17,70.32717365179639,6,0.0033307210031347963,0.01377883496312625
ɯ,3,21.045387050708882,3,0.0005877742946708464,0.004123312509935126
u,2,290.9861348599285,2,0.00039184952978056425,0.05701139005876342
ɤ,2,102.33178087275843,2,0.00039184952978056425,0.020049330108299065
