point_id,point_name,phonetic_set,vowel_inventory_size
AJ01,安吉安城,"a, a/u, a/ɷ, aʔ, e, i, ia, u, u/a, ɔ, ɷ, ɷ/a, ɷ/u",13
BL01,北仑城关,"a, a/au, a/e, a/o, a/o/au, au, au/øy, e, ia, o, o/au, o/øy, u, uo, ŋ, ɛ",16
BS01,宝山,"ia, iᴀ, iᴇ, o, u, y, ᴀ, ᴇ",8
CM01,崇明城关," ɑ, iɑ, o, u, u/i, u/o/uo, u/ɑ, uo, æ, ŋ, ɑ, ɑ/o, ɑ/ɛ/iɛ, ɔ, ɛ, ɛ/iɛ",16
CS01,川沙浦东,"iu, iɔ, iɛ, iᴀ, iᴀ/o/ɔ, iᴀ/ɔ, o, u, u/iɔ, u/ɤ, u/ᴀ, ɔ, ɔ/ɛ, ᴀ, ᴀ/iɔ",15
CS02,常熟虞山镇,"ioʔ, iɯ/y, iᴀ, u, u/iᴀ, u/ɯ, u/ᴀ, ɛ, ɯ, ɯ/i, ɯ/ᴀ, ᴀ",12
CX01,慈溪逍林,"a, a/e, a/iɛ, a/o, a/ou, ia, o, ou, ou/u, u, u/ou, ø",12
CZ01,常州,"a, a/ia, a/o, a/æi, aɤ, ia, io, o, o/a, o/ia, u, u/ɤɯ, æi, ɔʔ, ɤɯ, ɤɯ/a, ɥ",17
DB01,郎溪梅渚镇定埠,"a, iɑ, u, uɤɪ, ɑ, ɑ/iɑ, əʔ, ɷ, ʮ, ᴇ",10
DQ01,德清乾元,"a, a/ɔ, a/ᴇ, aʔ, i, ia, oʔ, u, u/a, ɔ, ᴇ",11
DY01,丹阳,"      ,  ɑ, ie, iɑ, u, u/ə                                  , yɑ, æ, æʔ, ɑ, ɑ/ie, ɑ/iɑ, ɑ/æ, ɑ/ə, ə, ə                                  , ə/ɔ, 画",18
FH01,奉化西坞,"a, a/o, a/əu, ia, ie, o, u, u/əu, y, əu, ɛ, ɛi",12
FJ01,枫泾镇,"iu, iᴀ, o, o/ɔ/iᴀ, o/ᴀ, u, u/ᴀ, əu, ɛ/ᴀ, ɤ, ᴀ, ᴀ/o, ᴀ/ɛ",13
FX01,奉贤,"iu/y, iɑ, iɛ, o, o/u, o/ɑ, o/ɔ/iɑ, u, u/i, u/o, u/ɑ, ɑ, ɑ/e, ɔ, ɔ/iɑ, ɯ",16
FY01,富阳城关,"a, a/o, a/ʊ, i, ia, iɛ, ku/u, o, u, u/a/o, u/o, ua, yɛ, ɛ, ʊ",15
FY02,富阳东梓关,"a, a/uo, ia, iɛ, o, u, u/a, uo, ɔ, ɛ",10
HM01,海门镇沙地话,"iɑ, iɛ, o, o/iɑ, o/ɑ, o/ɑ/iɑ, u, u/ɑ, uo, ɑ, ɑ/iɑ, ɑ/ɛ, ɛ, ɛ/iɛ",14
HN01,海宁城关,"a, a/o, a/u, ia, iɛ, o, o/u, u, u/a, ŋ",10
HY01,海盐县城,"e/u, iɑ, iɛ, n, o, o/u, o/ɑ, u, u/n, u/o, u/ɑ, ɑ, ɑ/o, əʔ, ɛ, ɤ",16
HZ01,杭州城区,"a, a/iɛ, a/o, ia, iɛ, o, u, u/o, y, ɛ",10
HZ01,湖州市区,"a, a/əu, a/ɷ, e, ia, u, u/əu, w, əu, ɷ, ɷ/əu",11
JJ01,靖江城区,"iæ, iɑ, o, o/ɑ, u, u/ʌɤ, æ, æ/ɑ, ɑ, ʌɤ, ʌɤ/æ/ɑ",11
JS01,嘉善魏塘镇,"a, a/o, a/o/ɔ, i/u, ia, iø, iɪ, o, u, u/a, u/o, u/ɤ, ᴇ, ᴇ/a",14
JS02,金山,"iu, iɛ, iᴀ, o, o/ɔ/iᴀ, o/ᴀ, o/ᴀ/ɑ, u, u/i, u/o, u/ᴀ, ɔ/u, ɤ, ᴀ, ᴀ/o, ᴀ/ɛ",16
JT01,金坛,"a, a/ia, a/iɛ, a/o, ao, ia, ia/iɛ, iɛ, iɛ/ia, o, o/a, o/ia, u, u/ŋ, yɛ, ɔʔ, əu, əu/a, əu/ao, əʔ, ɛi",21
JX01,嘉兴城区,"iɑ, o, o/ɑ, u, u/e, u/ɑ, yɤə, ɑ, ɛ",9
JY01,江阴城区澄江镇,"         , a, a/æ, ia, ia/æ, io, o, o/a, o/ia, u, æ, ɒ/əɯ, əɯ, əɯ/a",14
KQ01,柯桥城关,"a, a/e, a/o, e, ia, io, o, u, u/o, y, ɒ",11
KS01,昆山市区玉山镇,"a, a/u/əu, a/ɛ, ia, n/əu, o, o/a, o/əu, u, ua, yø, əu, ɛ",13
LP01,临平五杭,"a, a/o, a/uo, a/ɛ, i, ia, o, oŋ, u, u/a, uo, y",12
LY01,溧阳,"    , ie, io, iɑ, o, o/ie, o/io, u, ŋ, ɔ, ʌɯ, ʌɯ/o/ᴀ, ᴀ, ᴀ/ie",14
MH01,闵行,"a, ia, o, o/a, u, y, ŋ, ɑ, ɔ, ɛ, ɤ",11
NB01,宁波市区,"a, a/ia/ie, a/o, a/o/əu, a/əu, ia, ia/yo, ie, o, o/a/ia/yo, o/yo, u, u/əu, uo, yo, ø/əu, əu",17
NH01,南汇惠南镇,"a, a/o, a/ɛ, ia, iu, o, u, u/a, u/o, u/ɔ, ɔ, ɔ/o, ɛ",13
NT01,南通金沙镇,"   , iɑ, iɑʔ, o, o/uo, o（uo）/iɑ, u, uo, yæ, æ, ɑ, ɑ/æ, ɤɯ, ɤɯ/ɑ",14
PH01,平湖城关,"a, o, o/a, o/ia, u, u/a",6
QD01,启东吕四,,0
QP01,青浦商榻,"iøʔ, iɒ, iəu, u, u/əu, ɐ/əu, ɒ, ɒ/əu, əu, əu/ɒ, əu/ɒ/iəu, ɛ, ʊ, ʊ/iɒ, ʊ/ɒ",15
SH01,上海市区,"i/u, iᴀ, iᴇ, o, o/ᴀ, u, u/o, u/ᴀ, ɔ, ᴀ, ᴀ/o, ᴀ/ᴇ, ᴇ",13
SJ01,松江镇,"e/iɑ, iu, iɑ, iɛ, o, o/iɑ, o/u/ɑ, o/ɑ, o/ɔ, u, u/o, u/ɑ, u/ɑ/o, u/ɔ, ɑ, ɑ/iɑ, ɑ/o, ɑ/ɛ, ɔ/iɑ, ɔ/iɑ/o, ɔ/u",21
SX01,绍兴城区东头埭,"a, a/o, ia, ia/o, ieʔ, iia, io, o, u, u/o, y,  ɒ",12
SY02,上虞百官镇,"iɐ, iɐ/o, o, u, uo, y, ɐ, ɐ/o, ɐ/ᴇ, ᴇ",10
SZ01,苏州城区,"i/əu, io, iɑ, iɑ/io, o, o/ɑ, uᴇ, v, ɑ, ɑ/o, ɑ/əu, ɑ/ᴇ, əu, ɪ, ɪ/iɑ, ᴇ",16
SZ02,嵊州长乐,"a, a/o, a/ɔ, i, ia, iɔ, iᴇ, o, u, ɔ, ɔ/o, ᴇ",12
SZ03,嵊州崇仁镇,"a, a/ɤ, e, u, ɤ",5
TC01,太仓沙溪,"a, a/o, a/əu, a/ɛ, i/əu, ia, ia/o, iɔ, iɪ, o, o/əu, u, ɔ, ɔ/əu, əu, ɛ",16
TL01,桐庐镇,"a, a/u, a/uo, a/ɛ/u, ia, iɛ, u, u/uo, u/ɔ, uo, y, yo",12
TX01,桐乡城区,"a, a/o, a/u, ia, iɛ, o, o/a, u, ɛ",9
WJ01,吴江市松陵," , a, io, iɔ, iɔ/io, o, u, ɔ, ɔ/iɔ, ɔ/o, əu, ɪ, ᴇ",13
WJ02,吴江芦墟,"i/əu, iɔ, o, o/ɔ, u, ɔ, ɔ/əu, əu",8
WX01,无锡城区,"a, a/ia, a/əɯ, ia, u, u/a, u/ŋ, yəʔ, yʊ, əɯ, əɯ/a, ʌ",12
WX02,吴县光福镇,"a, a/o, ia, io, o, u, æ/o, əu, ɛ",9
XC01,新昌城关,"a, a/o, a/o̞, a/ɛ, ia, o, o/u, o̞, o̞/o, u, ɛ",11
XD01,新登下港,"a, a/ia, a/o, a/ɛ, ai, ia, ia/yo, ie, o, u, u/a, u/ɔ, u/ɛ, ua, y, yo, ɔ, ɛ",18
XH02,萧山城厢,"a, a/o, ia, ia/e, io, o, u, u/o",8
XS01,象山丹城,"a, a/o, a/ɛ, ia, o, u, y",7
XS03,萧山南阳镇,"a, a/o, ia, o, u",5
XZ01,莘庄,"e, iu, iᴀ, o, o/ɔ/iᴀ, o/ɛ, o/ᴀ, u, u/ᴀ, ɔ, ɤ, ᴀ",12
YX01,宜兴,"a, a/ia, au, ia, io, o, o/io, oʔ, u, ŋ, ɛ, ɷ, ɷ/au",13
YX02, 鄞县中区,"a, a/e, a/o, a/əu, ia, ia/o, ie, o, u, u/əu, əu",11
YY01,余姚城关,"a, a/o, a/ou, ia, ia/io, ia/o, o, o/ou, ou, u, y, ŋ, ɥ",13
ZJ01,张家港城关,"a, u, ø, ɤɯ",4
ZJ01,诸暨城关,"a, a/o, a/ɔi, ia, io, o, o/ɔi, u, y, ɔi",10
ZJ02,诸暨璜山镇," ɤɯ, a, ia, ie, iʊ/ia, u, y, ɤɯ, ʊ, ʊ/a, ʊ/ɤɯ",11
ZJ03,诸暨直埠镇,"a, a/o, a/ou, ia, o, o/ou, ou, u, u/o",9
ZS01,舟山定海,"a, a/au, a/ia/iɛ, a/o, a/o/au, a/ɛ, au, ia, o, o/au, u, u/au, y",13
