point_id,point_name,subbranch,chain_slot,onset_class,phonetic,token_count,char_count,example_chars
XD01,新登下港,太湖片-临绍小片,S0,K,ai,1,1,崖
CZ01,常州,太湖片-毗陵小片,S0,TS,æi,1,1,豺
CZ01,常州,太湖片-毗陵小片,S0,Ø,æi,1,1,骇
ZJ01,诸暨城关,太湖片-临绍小片,S2,K,ɔi,19,18,卧 / 可 / 哥 / 戈 / 我 / 果 / 棵 / 歌 / 科 / 窠 / 蛾 / 蝌
ZJ01,诸暨城关,太湖片-临绍小片,S2,M,ɔi,5,4,摩 / 磨 / 蘑 / 魔
ZJ01,诸暨城关,太湖片-临绍小片,S2,N,ɔi,7,7,懦 / 挪 / 箩 / 糯 / 罗 / 螺 / 裸
ZJ01,诸暨城关,太湖片-临绍小片,S2,P,ɔi,11,10,坡 / 婆 / 播 / 波 / 玻 / 破 / 簸 / 菠 / 薄 / 跛
ZJ01,诸暨城关,太湖片-临绍小片,S2,T,ɔi,13,12,多 / 大 / 妥 / 惰 / 拖 / 朵 / 椭 / 舵 / 躲 / 陀 / 驮 / 驼
ZJ01,诸暨城关,太湖片-临绍小片,S2,TS,ɔi,7,7,佐 / 坐 / 左 / 座 / 搓 / 琐 / 锁
ZJ01,诸暨城关,太湖片-临绍小片,S2,Ø,ɔi,12,10,伙 / 何 / 和 / 河 / 火 / 祸 / 禾 / 窝 / 荷 / 货
ZJ01,诸暨城关,太湖片-临绍小片,S3,M,ɔi,5,4,墓 / 慕 / 暮 / 模
ZJ01,诸暨城关,太湖片-临绍小片,S3,TS,ɔi,2,2,做 / 错
ZJ01,诸暨城关,太湖片-临绍小片,S3,Ø,ɔi,1,1,恶
FH01,奉化西坞,太湖片-甬江小片,S0,M,ɛi,1,1,埋
JT01,金坛,太湖片-毗陵小片,S0,TS,ɛi,3,3,债 / 斋 / 豺
JT01,金坛,太湖片-毗陵小片,S0,Ø,ɛi,2,2,挨 / 骇
