rule_group,antecedent,consequent,total_point_count,antecedent_point_count,joint_point_count,confidence,exception_count,exception_points
onset,N声母条件有清晰裂化,K声母条件有清晰裂化,65,22,22,1.0,0,
onset,N声母条件有清晰裂化,T声母条件有清晰裂化,65,22,22,1.0,0,
onset,N声母条件有清晰裂化,TS声母条件有清晰裂化,65,22,22,1.0,0,
onset,N声母条件有清晰裂化,Ø声母条件有清晰裂化,65,22,22,1.0,0,
onset,T声母条件有清晰裂化,K声母条件有清晰裂化,65,22,22,1.0,0,
onset,T声母条件有清晰裂化,N声母条件有清晰裂化,65,22,22,1.0,0,
onset,T声母条件有清晰裂化,TS声母条件有清晰裂化,65,22,22,1.0,0,
onset,T声母条件有清晰裂化,Ø声母条件有清晰裂化,65,22,22,1.0,0,
onset,TS声母条件有清晰裂化,K声母条件有清晰裂化,65,22,22,1.0,0,
onset,TS声母条件有清晰裂化,N声母条件有清晰裂化,65,22,22,1.0,0,
onset,TS声母条件有清晰裂化,T声母条件有清晰裂化,65,22,22,1.0,0,
onset,TS声母条件有清晰裂化,Ø声母条件有清晰裂化,65,22,22,1.0,0,
onset,Ø声母条件有清晰裂化,K声母条件有清晰裂化,65,22,22,1.0,0,
onset,Ø声母条件有清晰裂化,N声母条件有清晰裂化,65,22,22,1.0,0,
onset,Ø声母条件有清晰裂化,T声母条件有清晰裂化,65,22,22,1.0,0,
onset,Ø声母条件有清晰裂化,TS声母条件有清晰裂化,65,22,22,1.0,0,
onset,M声母条件有清晰裂化,K声母条件有清晰裂化,65,16,16,1.0,0,
onset,M声母条件有清晰裂化,N声母条件有清晰裂化,65,16,16,1.0,0,
onset,M声母条件有清晰裂化,T声母条件有清晰裂化,65,16,16,1.0,0,
onset,M声母条件有清晰裂化,TS声母条件有清晰裂化,65,16,16,1.0,0,
onset,M声母条件有清晰裂化,Ø声母条件有清晰裂化,65,16,16,1.0,0,
onset,P声母条件有清晰裂化,K声母条件有清晰裂化,65,12,12,1.0,0,
onset,P声母条件有清晰裂化,M声母条件有清晰裂化,65,12,12,1.0,0,
onset,P声母条件有清晰裂化,N声母条件有清晰裂化,65,12,12,1.0,0,
onset,P声母条件有清晰裂化,T声母条件有清晰裂化,65,12,12,1.0,0,
onset,P声母条件有清晰裂化,TS声母条件有清晰裂化,65,12,12,1.0,0,
onset,P声母条件有清晰裂化,Ø声母条件有清晰裂化,65,12,12,1.0,0,
onset,K声母条件有清晰裂化,N声母条件有清晰裂化,65,23,22,0.9565217391304348,1,FJ01:枫泾镇
onset,K声母条件有清晰裂化,T声母条件有清晰裂化,65,23,22,0.9565217391304348,1,FJ01:枫泾镇
onset,K声母条件有清晰裂化,TS声母条件有清晰裂化,65,23,22,0.9565217391304348,1,FJ01:枫泾镇
onset,K声母条件有清晰裂化,Ø声母条件有清晰裂化,65,23,22,0.9565217391304348,1,FJ01:枫泾镇
slot,S3有清晰裂化,S2有清晰裂化,65,23,23,1.0,0,
slot,S2有清晰裂化,S3有清晰裂化,65,23,23,1.0,0,
slot,S0或S1有清晰裂化,S2有清晰裂化,65,2,2,1.0,0,
slot,S0或S1有清晰裂化,S3有清晰裂化,65,2,2,1.0,0,
slot,S0有清晰裂化,S2有清晰裂化,65,1,1,1.0,0,
slot,S1有清晰裂化,S2有清晰裂化,65,1,1,1.0,0,
slot,S0有清晰裂化,S3有清晰裂化,65,1,1,1.0,0,
slot,S1有清晰裂化,S3有清晰裂化,65,1,1,1.0,0,
slot,S2或S3有清晰裂化,S0或S1有清晰裂化,65,23,2,0.08695652173913043,21,CZ01:常州 | FH01:奉化西坞 | FJ01:枫泾镇 | HZ01:湖州市区 | JJ01:靖江城区 | JT01:金坛 | JY01:江阴城区澄江镇 | KS01:昆山市区玉山镇 | LY01:溧阳 | NB01:宁波市区 | NT01:南通金沙镇 | QP01:青浦商榻 | SZ01:苏州城区 | TC01:太仓沙溪 | WJ01:吴江市松陵 | WJ02:吴江芦墟 | WX02:吴县光福镇 | YX02:鄞县中区 | YY01:余姚城关 | ZJ02:诸暨璜山镇 | ZJ03:诸暨直埠镇
