onset_class,chain_slot,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share
K,S0,987,699,0,287,1,0,0,0,699,64,26,,0.0,0.0,0.0,0.0010131712259371835,0.0
K,S1,1088,808,0,244,0,0,36,0,808,64,20,,0.0,0.0,0.03308823529411765,0.0,0.0
K,S2,1390,1310,470,1,19,45,4,3,840,64,25,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.35877862595419846,0.3381294964028777,0.0028776978417266188,0.013669064748201438,0.03237410071942446
K,S3,1553,1538,202,0,0,0,0,0,1336,64,9,"ou, əu",0.13133940182054615,0.13007083065035416,0.0,0.0,0.0
M,S0,203,202,0,0,1,0,0,0,202,64,11,,0.0,0.0,0.0,0.0049261083743842365,0.0
M,S1,438,425,0,0,0,0,13,0,425,64,12,,0.0,0.0,0.02968036529680365,0.0,0.0
M,S2,282,265,53,0,5,12,0,0,212,64,15,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.2,0.1879432624113475,0.0,0.01773049645390071,0.0425531914893617
M,S3,412,387,65,0,5,19,0,1,322,64,19,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.16795865633074936,0.15776699029126215,0.0,0.012135922330097087,0.04611650485436893
N,S2,756,721,202,0,7,23,3,2,519,64,27,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.2801664355062413,0.2671957671957672,0.003968253968253968,0.009259259259259259,0.03042328042328042
N,S3,874,872,152,0,0,1,0,1,720,64,12,"əu, əɯ, ɤɯ, ʌɤ",0.1743119266055046,0.17391304347826086,0.0,0.0,0.0011441647597254005
P,S0,483,481,1,0,0,0,2,0,480,64,14,ou,0.002079002079002079,0.002070393374741201,0.004140786749482402,0.0,0.0
P,S1,859,833,0,0,0,0,26,0,833,64,15,,0.0,0.0,0.030267753201396973,0.0,0.0
P,S2,609,557,104,0,11,27,1,2,453,64,23,"ou, əu, əɯ, ɤɯ, ʌɯ",0.1867145421903052,0.17077175697865354,0.0016420361247947454,0.0180623973727422,0.04433497536945813
P,S3,1110,1089,19,0,0,0,0,1,1070,64,5,əɯ,0.017447199265381085,0.017117117117117116,0.0,0.0,0.0
T,S2,1026,988,271,0,13,24,1,0,717,64,24,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.2742914979757085,0.26413255360623783,0.0009746588693957114,0.012670565302144249,0.023391812865497075
T,S3,1280,1280,207,0,0,0,0,0,1073,64,11,"ou, əu, əɯ, ɤɯ, ʌɤ",0.16171875,0.16171875,0.0,0.0,0.0
TS,S0,553,531,0,11,4,0,6,1,531,64,23,,0.0,0.0,0.0108499095840868,0.007233273056057866,0.0
TS,S1,1105,1020,15,20,0,0,65,0,1005,64,20,əɯ,0.014705882352941176,0.013574660633484163,0.058823529411764705,0.0,0.0
TS,S2,671,639,195,3,7,21,1,0,444,64,24,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.3051643192488263,0.2906110283159464,0.0014903129657228018,0.010432190760059613,0.03129657228017884
TS,S3,804,769,141,1,2,4,0,1,628,64,17,"ou, əu, əɯ, ɤɯ",0.18335500650195058,0.17537313432835822,0.0,0.0024875621890547263,0.004975124378109453
Ø,S0,499,413,0,80,3,0,1,2,413,64,27,,0.0,0.0,0.002004008016032064,0.006012024048096192,0.0
Ø,S1,827,512,0,262,0,0,52,1,512,64,22,,0.0,0.0,0.06287787182587666,0.0,0.0
Ø,S2,961,908,252,2,12,30,6,3,656,64,27,"ou, əu, əɯ, ɤɯ, ʌɤ, ʌɯ",0.2775330396475771,0.26222684703433924,0.006243496357960458,0.012486992715920915,0.031217481789802288
Ø,S3,1129,1124,80,0,1,0,0,2,1044,64,7,əu,0.0711743772241993,0.070859167404783,0.0,0.0008857395925597874,0.0
