summary_type,group,subgroup,point_count,mean_s4_monophthong_share,median_s4_monophthong_share,mean_s0s1_merge,median_s0s1_merge,s5_monophthong_only_point_count,s5_has_monophthong_point_count
overall,all,all,66,0.4927,0.3649,0.1419,0.1455,57,59
s4_map_category,e类单音化,all,7,1.0,1.0,0.1806,0.1832,7,7
s4_map_category,ø/ɵ/y类单音化,all,2,1.0,1.0,0.139,0.139,2,2
s4_map_category,ɤ/ɯ类单音化,all,11,1.0,1.0,0.1795,0.1836,11,11
s4_map_category,未单音化,all,4,0.0,0.0,0.0889,0.053,3,4
s4_map_category,混合,all,42,0.298,0.0948,0.1299,0.1352,34,35
s4_status,diphthong_or_glide_only,all,4,0.0,0.0,0.0889,0.053,3,4
s4_status,mixed_mono_and_diphthong,all,31,0.3237,0.129,0.1273,0.1143,25,26
s4_status,mixed_with_other,all,11,0.2254,0.0682,0.1365,0.1455,9,9
s4_status,monophthong_only,all,20,1.0,1.0,0.1758,0.1697,20,20
s5_status,diphthong_or_glide_only,all,6,0.2094,0.0403,0.0676,0.0785,0,0
s5_status,mixed_mono_and_diphthong,all,2,0.0328,0.0328,0.176,0.176,0,2
s5_status,monophthong_only,all,57,0.5467,0.75,0.1487,0.1486,57,57
s5_status,,all,1,0.0333,0.0333,,,0,0
s4_map_category_x_s5_status,e类单音化,monophthong_only,7,1.0,1.0,0.1806,0.1832,7,7
s4_map_category_x_s5_status,ø/ɵ/y类单音化,monophthong_only,2,1.0,1.0,0.139,0.139,2,2
s4_map_category_x_s5_status,ɤ/ɯ类单音化,monophthong_only,11,1.0,1.0,0.1795,0.1836,11,11
s4_map_category_x_s5_status,未单音化,mixed_mono_and_diphthong,1,0.0,0.0,0.2037,0.2037,0,1
s4_map_category_x_s5_status,未单音化,monophthong_only,3,0.0,0.0,0.0507,0.0513,3,3
s4_map_category_x_s5_status,混合,diphthong_or_glide_only,6,0.2094,0.0403,0.0676,0.0785,0,0
s4_map_category_x_s5_status,混合,mixed_mono_and_diphthong,1,0.0656,0.0656,0.1483,0.1483,0,1
s4_map_category_x_s5_status,混合,monophthong_only,34,0.3282,0.1225,0.141,0.1463,34,34
s4_map_category_x_s5_status,混合,,1,0.0333,0.0333,,,0,0
s4_status_x_s5_status,diphthong_or_glide_only,mixed_mono_and_diphthong,1,0.0,0.0,0.2037,0.2037,0,1
s4_status_x_s5_status,diphthong_or_glide_only,monophthong_only,3,0.0,0.0,0.0507,0.0513,3,3
s4_status_x_s5_status,mixed_mono_and_diphthong,diphthong_or_glide_only,4,0.2989,0.0982,0.0681,0.0785,0,0
s4_status_x_s5_status,mixed_mono_and_diphthong,mixed_mono_and_diphthong,1,0.0656,0.0656,0.1483,0.1483,0,1
s4_status_x_s5_status,mixed_mono_and_diphthong,monophthong_only,25,0.3497,0.14,0.1366,0.1388,25,25
s4_status_x_s5_status,mixed_mono_and_diphthong,,1,0.0333,0.0333,,,0,0
s4_status_x_s5_status,mixed_with_other,diphthong_or_glide_only,2,0.0303,0.0303,0.0665,0.0665,0,0
s4_status_x_s5_status,mixed_with_other,monophthong_only,9,0.2688,0.0789,0.1521,0.147,9,9
s4_status_x_s5_status,monophthong_only,monophthong_only,20,1.0,1.0,0.1758,0.1697,20,20
