point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts,s4_slot_in_data,s4_rhyme_in_data,s4_initial,s4_value_counts,s4_total_token_count,s4_monophthong_token_count,s4_monophthong_token_share,s4_dominant_value,s4_dominant_value_class,s4_dominant_nucleus,s4_dominant_nucleus_category,s4_dominant_token_count,s4_dominant_token_share,s4_status,s4_monophthong_values,s4_monophthong_nuclei,s4_back_monophthong_nuclei,s4_diphthong_or_glide_values,s4_other_values,s4_monophthong_nuclei_in_core,s4_monophthong_nuclei_in_core_back,s4_monophthong_nuclei_not_in_core,s4_core_relation,s4_map_category,s4_has_monophthong,s4_monophthong_only,s4_half_or_more_monophthong,hao_status,hao_monophthong_token_share,hao_dominant_value,hao_core_relation,s5_has_monophthong,s5_monophthong_only,s0s1_merge_mean,s0s1_merge_median,s1s2_merge_mean,s2s3_merge_mean,onset_condition_count
AJ01,安吉安城,太湖片-苕溪小片,S0+S1+S2+S3,"a, e, u, ɔ, ɷ",5,295,"a, e, u, ɔ, ɷ",5,"u(126), ɷ(98), a(69), e(1), ɔ(1)","u, ɔ, ɷ",3,225,"u, ɔ, ɷ",3,"u(126), ɷ(98), ɔ(1)",S4,侯,*əu,"e(60), u(3), ɷ(1), a(1)",65,65,1.0,e,monophthong,e,e_like,60,0.9230769230769231,monophthong_only,"a, e, u, ɷ","a, e, u, ɷ","u, ɷ",,,"a, e, u, ɷ","u, ɷ",,all_s4_mono_in_core_inventory,e类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.31321666666666664,0.23335,0.29963333333333336,0.39212857142857144,7.0
BL01,北仑城关,太湖片-甬江小片,S0+S1+S2+S3,"a, e, o, u, ɛ",5,208,"a, e, o, u, ɛ",5,"u(103), o(54), a(44), e(6), ɛ(1)","o, u",2,157,"o, u",2,"u(103), o(54)",S4,侯,*əu,"øy(60), au(2), m(2), ŋ(1), øyɔ(1), ɔ(1)",67,1,0.014925373134328358,øy,diphthong_or_glide,,,60,0.8955223880597015,mixed_with_other,ɔ,ɔ,ɔ,"au, øy, øyɔ","m, ŋ",,,ɔ,s4_mono_outside_core_inventory,混合,True,False,False,monophthong_only,1.0,ɔ,partial_hao_mono_in_core_inventory,True,True,0.01988,0.0,0.02172,0.13595714285714286,7.0
BS01,宝山,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ᴀ, ᴇ",4,277,"o, u, ᴀ, ᴇ",4,"u(184), ᴀ(54), o(35), ᴇ(4)","o, u",2,219,"o, u",2,"u(184), o(35)",S4,侯,*əu,"ɤe(35), ɤ(10), u(5), ɔ(2), ᴇ(1)",53,18,0.33962264150943394,ɤe,diphthong_or_glide,,,35,0.660377358490566,mixed_mono_and_diphthong,"u, ɔ, ɤ, ᴇ","u, ɔ, ɤ, ᴇ","u, ɔ, ɤ",ɤe,,"u, ᴇ",u,"ɔ, ɤ",partial_s4_mono_in_core_inventory,混合,True,False,False,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.12371666666666666,0.0089,0.0,0.5871142857142857,7.0
CM01,崇明城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, æ, ɑ, ɔ, ɛ",7,323,"i, o, u, æ, ɑ, ɔ, ɛ",7,"u(207), ɑ(60), o(48), ɛ(5), i(1), æ(1), ɔ(1)","o, u, ɑ, ɔ",4,316,"o, u, ɑ, ɔ",4,"u(207), ɑ(60), o(48), ɔ(1)",S4,侯,*əu,"ɵ(67), u(3), ɛ(1)",71,71,1.0,ɵ,monophthong,ɵ,front_rounded,67,0.9436619718309859,monophthong_only,"u, ɛ, ɵ","u, ɛ, ɵ",u,,,"u, ɛ",u,ɵ,partial_s4_mono_in_core_inventory,ø/ɵ/y类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.12708333333333333,0.0367,0.0,0.6800428571428572,7.0
CS01,川沙浦东,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɔ, ɛ, ɤ, ᴀ",6,294,"o, u, ɔ, ɛ, ɤ, ᴀ",6,"u(200), ᴀ(63), o(18), ɔ(11), ɤ(1), ɛ(1)","o, u, ɔ, ɤ",4,230,"o, u, ɔ, ɤ",4,"u(200), o(18), ɔ(11), ɤ(1)",S4,侯,*əu,"ɤ(61), u(3), e(1), ɔ(1)",66,66,1.0,ɤ,monophthong,ɤ,back_unrounded,61,0.9242424242424242,monophthong_only,"e, u, ɔ, ɤ","e, u, ɔ, ɤ","u, ɔ, ɤ",,,"u, ɔ, ɤ","u, ɔ, ɤ",e,partial_s4_mono_in_core_inventory,ɤ/ɯ类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.14063333333333333,0.0089,0.0,0.6416000000000001,7.0
CS02,常熟虞山镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, u, ɛ, ɯ, ᴀ",5,268,"i, u, ɛ, ɯ, ᴀ",5,"ɯ(113), u(105), ᴀ(47), ɛ(2), i(1)","u, ɯ",2,218,"u, ɯ",2,"ɯ(113), u(105)",S4,侯,*əu,"ᴇ(52), u(3)",55,55,1.0,ᴇ,monophthong,ᴇ,e_like,52,0.9454545454545454,monophthong_only,"u, ᴇ","u, ᴇ",u,,,u,u,ᴇ,partial_s4_mono_in_core_inventory,e类单音化,True,True,True,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.12006666666666667,0.013049999999999999,0.19838333333333333,0.4174428571428571,7.0
CX01,慈溪逍林,太湖片-临绍小片,S0+S1+S2+S3,"a, e, o, u, ø",5,197,"a, e, o, u, ø",5,"u(91), o(62), a(42), ø(1), e(1)","o, u",2,153,"o, u",2,"u(91), o(62)",S4,侯,*əu,"ø(49), ou(2), u(1), ɔ(1), iø(1)",54,51,0.9444444444444444,ø,monophthong,ø,front_rounded,49,0.9074074074074074,mixed_mono_and_diphthong,"u, ø, ɔ","u, ø, ɔ","u, ɔ","iø, ou",,"u, ø",u,ɔ,partial_s4_mono_in_core_inventory,混合,True,False,True,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.09190000000000001,0.1212,0.06061999999999999,0.14851428571428574,7.0
CZ01,常州,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u",3,201,"a, o, u",3,"u(99), o(59), a(43)","o, u",2,158,"o, u",2,"u(99), o(59)",S4,侯,*əu,"ei(59), ɤɯ(3), m(1), eu(1)",64,0,0.0,ei,diphthong_or_glide,,,59,0.921875,mixed_with_other,,,,"ei, eu, ɤɯ",m,,,,no_s4_monophthong,混合,False,False,False,diphthong_or_glide_only,0.0,aɤ,no_hao_monophthong,False,False,0.0914,0.1007,0.03333333333333333,0.09581428571428571,7.0
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,S0+S1+S2+S3,"a, u, ɑ, ɷ, ᴇ",5,278,"a, u, ɑ, ɷ, ᴇ",5,"ɷ(103), u(73), ɑ(66), ᴇ(35), a(1)","u, ɑ, ɷ",3,242,"u, ɑ, ɷ",3,"ɷ(103), u(73), ɑ(66)",S4,侯,*əu,"ɯ(31), y(15), ɷ(4), ɤɪ(3), ɔ(2), əʔ(1), u(1)",57,53,0.9298245614035088,ɯ,monophthong,ɯ,back_unrounded,31,0.543859649122807,mixed_with_other,"u, y, ɔ, ɯ, ɷ","u, y, ɔ, ɯ, ɷ","u, ɔ, ɯ, ɷ",ɤɪ,əʔ,"u, ɷ","u, ɷ","y, ɔ, ɯ",partial_s4_mono_in_core_inventory,混合,True,False,True,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.0584,0.01865,0.018516666666666667,0.20918571428571428,7.0
DQ01,德清乾元,太湖片-苕溪小片,S0+S1+S2+S3,"a, u, ɔ, ᴇ",4,307,"a, u, ɔ, ᴇ",4,"u(199), a(56), ɔ(49), ᴇ(3)","u, ɔ",2,248,"u, ɔ",2,"u(199), ɔ(49)",S4,侯,*əu,"ø(57), u(3), y(3)",63,63,1.0,ø,monophthong,ø,front_rounded,57,0.9047619047619048,monophthong_only,"u, y, ø","u, y, ø",u,,,u,u,"y, ø",partial_s4_mono_in_core_inventory,ø/ɵ/y类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.15096666666666667,0.028699999999999996,0.03601666666666667,0.6846428571428572,7.0
