point_id,point_name,subbranch,lat,lon,rhyme_modern,chain_slot,slot_type_initial,is_free,onset_class,char,phonetic,vowel_symbol,vowel_class,reading_layer,mainlayer_flag,combo_validity,zero_type,feature_change
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,T,多,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,T,拖,a/au,a,a,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,T,他,a,a,a,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,T,驼,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,T,驮,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,T,陀,,,,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,T,鸵,,,,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,T,沱,,,,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,T,舵,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,T,大,a/o/au,a,a,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,T,驮,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,N,挪,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,N,哪,a/o,a,a,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,N,那,a,a,a,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,L,罗,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,L,锣,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,L,箩,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,L,萝,,,,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,L,逻,,,,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,TS,左,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,TS,佐,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,TS,搓,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,TS,娑,,,,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,K,歌,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,K,哥,au,au,au,main,1,1,none,
BL01,北仑城关,太湖片-甬江小片,,,歌,S2,*ɑ,0.0,K,柯,,,,main,1,1,none,
