point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,张惠英2009
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,T,多,u/ɑ,～少/口语多时,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,T,拖,u/ɑ,～拉/～尾巴,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,T,他,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,T,陀,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,T,鸵,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,T,沱,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,T,舵,u/ɑ,文读/口语表示车船重心不稳晃动,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,T,大,u/ɑ,～小/～麦,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,N,挪,ɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,N,哪,ɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,N,那,ɑ,文读,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,L,萝,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,L,逻,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,TS,左,u/i,文读/～手,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,TS,佐,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,TS,搓,u,～绳,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,柯,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,个,u,～数，～半,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,轲,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,可,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,蛾,ŋ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,鹅,ŋ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,俄,ŋ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,娥,ŋ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,我,ŋ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,K,饿,ŋ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,Ø,阿,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,K,茄,ɑ,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,波,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,菠,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,跛,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,播,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,破,,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
CM01,崇明城关,太湖片-苏沪嘉小片,,,戈,P,薄,u,～荷,
