point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,川沙方言同音字表
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,T,多,u/ᴀ,/～年,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,T,拖,u/ᴀ,/～鼻涕,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,T,他,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,T,陀,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,T,沱,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,T,大,u/ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,N,挪,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,N,哪,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,N,那,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,L,萝,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,L,逻,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,TS,左,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,TS,佐,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,柯,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,个,u/ɤ,～人,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,轲,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,可,o,～以,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,鹅,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,俄,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,娥,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,我,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,Ø,阿,u,～胶,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,歌,Ø,屙,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,茄,ᴀ,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,波,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,跛,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,播,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,颇,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,破,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,P,薄,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,M,魔,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,M,摩,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,M,馍,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,T,朵,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,T,躲,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,T,剁,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,T,妥,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,T,椭,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,T,唾,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,T,砣,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,T,惰,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,T,垛,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,T,堕,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,N,挼,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,N,糯,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,N,懦,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,L,骡,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,L,螺,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,L,脶,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,L,啰,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,L,裸,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,L,摞,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,锉,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,坐,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,座,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,蓑,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,梭,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,唆,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,莎,,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,锁,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,琐,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,TS,唢,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,过,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,锅,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,戈,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,果,u,,
CS01,川沙浦东,太湖片-苏沪嘉小片,,,戈,K,裹,u,,
