point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江慈溪（逍林）方言同音字汇
CX01,慈溪逍林,太湖片-临绍小片,,,歌,T,多,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,T,拖,a/ou,～东西/～地,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,T,他,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,T,驼,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,T,驮,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,T,陀,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,T,鸵,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,T,沱,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,T,舵,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,T,大,a/ou,文读/白读,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,T,驮,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,N,挪,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,N,哪,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,N,那,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,L,罗,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,L,锣,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,L,箩,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,L,萝,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,L,逻,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,TS,左,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,TS,佐,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,TS,搓,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,TS,娑,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,K,歌,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,K,哥,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,K,柯,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,K,个,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,K,轲,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,K,可,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,K,蛾,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,K,鹅,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,K,俄,ou,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,K,娥,,,
CX01,慈溪逍林,太湖片-临绍小片,,,歌,K,我,,,
