point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,杜进 2016
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,T,多,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,T,拖,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,T,他,a,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,T,驼,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,T,驮,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,T,陀,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,T,鸵,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,T,沱,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,T,舵,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,T,大,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,T,驮,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,N,挪,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,N,哪,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,N,那,ɑ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,L,罗,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,L,锣,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,L,箩,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,L,萝,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,L,逻,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,TS,左,ɷ,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,TS,佐,,,
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,,,歌,TS,搓,ɷ,,
