point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,上海地区方言调查研究
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,T,多,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,T,他,ᴀ,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,T,驼,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,T,驮,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,T,陀,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,T,沱,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,T,大,u/ᴀ,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,T,驮,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,N,挪,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,N,哪,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,N,那,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,L,萝,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,L,逻,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,TS,左,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,歌,əu,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,哥,əu,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,柯,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,个,ɤ,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,轲,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,可,o,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,俄,əu,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,娥,,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,我,əu,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,K,饿,əu,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
FJ01,枫泾镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
