point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江省方言志
HZ01,湖州市区,太湖片-苕溪小片,,,歌,T,多,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,T,拖,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,T,他,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,T,驼,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,T,驮,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,T,陀,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,T,鸵,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,T,沱,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,T,舵,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,T,大,a/əu,文读/白读,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,T,驮,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,N,挪,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,N,哪,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,N,那,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,L,罗,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,L,锣,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,L,箩,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,L,萝,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,L,逻,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,TS,左,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,TS,佐,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,TS,搓,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,TS,娑,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,歌,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,哥,a/əu,白读/文读,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,柯,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,个,e,一～人,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,轲,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,可,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,蛾,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,鹅,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,俄,əu,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,娥,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,我,,,
HZ01,湖州市区,太湖片-苕溪小片,,,歌,K,饿,əu,,
