point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,上海地区方言调查研究
JS02,金山,太湖片-苏沪嘉小片,,,歌,T,多,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,T,他,ᴀ,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,T,驼,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,T,驮,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,T,陀,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,T,沱,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,T,大,u/ᴀ,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,T,驮,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,N,挪,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,N,哪,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,N,那,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,L,萝,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,L,逻,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,TS,左,u/i,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,柯,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,个,ɤ,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,轲,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,可,o,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,鹅,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,俄,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,娥,,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,我,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,Ø,阿,u,,
JS02,金山,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
JS02,金山,太湖片-苏沪嘉小片,,,戈,K,茄,ᴀ,,
JS02,金山,太湖片-苏沪嘉小片,,,戈,P,波,u,,
JS02,金山,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
JS02,金山,太湖片-苏沪嘉小片,,,戈,P,跛,,,
JS02,金山,太湖片-苏沪嘉小片,,,戈,P,簸,,,
JS02,金山,太湖片-苏沪嘉小片,,,戈,P,簸,,,
JS02,金山,太湖片-苏沪嘉小片,,,戈,P,播,u,,
JS02,金山,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
JS02,金山,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
JS02,金山,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
JS02,金山,太湖片-苏沪嘉小片,,,戈,P,破,u,,
