point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,俞光中1988
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,T,多,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,T,他,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,T,驮,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,T,陀,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,T,沱,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,T,大,u/ɑ,白读/文读,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,T,驮,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,N,挪,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,N,哪,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,N,那,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,L,萝,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,L,逻,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,TS,左,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,哥,u/e,/大阿～,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,柯,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,个,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,轲,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,可,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,鹅,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,俄,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,娥,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,我,u,文读,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,K,饿,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,Ø,阿,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,K,茄,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,波,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,跛,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,簸,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,簸,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,播,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,破,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,婆,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,P,薄,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,M,魔,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,M,摩,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,M,馍,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,戈,M,磨,u,,
