point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,上海地区方言调查研究
MH01,闵行,太湖片-苏沪嘉小片,,,歌,T,多,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,T,他,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,T,陀,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,T,沱,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,T,大,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,N,挪,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,N,哪,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,N,那,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,L,萝,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,L,逻,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,TS,左,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,TS,搓,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,柯,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,个,ɤ,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,轲,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,可,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,鹅,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,俄,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,娥,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,我,ŋ,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,Ø,阿,,,
MH01,闵行,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
MH01,闵行,太湖片-苏沪嘉小片,,,戈,K,茄,,,
MH01,闵行,太湖片-苏沪嘉小片,,,戈,P,波,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,戈,P,跛,,,
MH01,闵行,太湖片-苏沪嘉小片,,,戈,P,簸,,,
MH01,闵行,太湖片-苏沪嘉小片,,,戈,P,簸,,,
MH01,闵行,太湖片-苏沪嘉小片,,,戈,P,播,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
MH01,闵行,太湖片-苏沪嘉小片,,,戈,P,破,u,,
