point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,七宝镇方言研究
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,T,多,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,T,拖,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,T,他,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,T,驼,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,T,驮,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,T,陀,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,T,沱,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,T,舵,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,T,大,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,T,驮,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,N,挪,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,N,哪,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,N,那,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,L,罗,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,L,锣,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,L,箩,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,L,萝,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,L,逻,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,TS,左,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,TS,搓,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,歌,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,哥,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,柯,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,个,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,轲,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,可,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,蛾,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,鹅,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,俄,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,娥,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,我,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,K,饿,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,Ø,河,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,Ø,何,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,Ø,贺,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,Ø,阿,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,K,茄,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,波,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,菠,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,跛,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,簸,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,簸,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,播,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,颇,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,坡,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,玻,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,破,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,婆,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,P,薄,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,M,魔,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,M,磨,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,M,摩,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,M,馍,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,M,磨,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,T,朵,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,T,躲,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,T,剁,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,T,妥,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,T,椭,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,T,唾,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,T,砣,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,T,惰,,,
MH01,闵行七宝镇,太湖片-苏沪嘉小片,,,戈,T,垛,,,
