point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,老派宁波方言同音字汇
NB01,宁波市区,太湖片-甬江小片,,,歌,T,多,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,T,拖,a/əu,～舌头,
NB01,宁波市区,太湖片-甬江小片,,,歌,T,他,,,
NB01,宁波市区,太湖片-甬江小片,,,歌,T,驼,,,
NB01,宁波市区,太湖片-甬江小片,,,歌,T,驮,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,T,陀,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,T,鸵,,,
NB01,宁波市区,太湖片-甬江小片,,,歌,T,沱,,,
NB01,宁波市区,太湖片-甬江小片,,,歌,T,舵,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,T,大,a/o/əu,/～家,
NB01,宁波市区,太湖片-甬江小片,,,歌,T,驮,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,N,挪,o,,
NB01,宁波市区,太湖片-甬江小片,,,歌,N,哪,a/o,,
NB01,宁波市区,太湖片-甬江小片,,,歌,N,那,a,,
NB01,宁波市区,太湖片-甬江小片,,,歌,L,罗,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,L,锣,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,L,箩,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,L,萝,əu,～卜,
NB01,宁波市区,太湖片-甬江小片,,,歌,L,逻,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,TS,左,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,TS,佐,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,TS,搓,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,TS,娑,,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,歌,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,哥,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,柯,,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,个,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,轲,,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,可,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,蛾,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,鹅,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,俄,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,娥,,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,我,o,,
NB01,宁波市区,太湖片-甬江小片,,,歌,K,饿,əu,,
NB01,宁波市区,太湖片-甬江小片,,,歌,Ø,荷,əu,,
