point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,许宝华、陶寰2015
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,T,多,u/ɑ,/～日,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,T,拖,u/ɑ,～地板/～舌头,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,T,他,ɑ,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,T,驼,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,T,陀,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,T,沱,,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,T,大,u/ɑ,白读/文读,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,T,驮,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,N,挪,o/u/ɑ,又读/文读,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,N,哪,ɑ/o,/～吒,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,N,那,ɑ,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,L,萝,u/ɔ,/～卜,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,L,逻,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,TS,左,u,文读,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,TS,佐,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,TS,搓,u/o,/文读,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,柯,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,个,,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,轲,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,可,ɔ/u,白读/文读,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,鹅,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,俄,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,娥,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,我,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,Ø,阿,u/ɑ/o,～胶/～姨/～弥陀佛,
SJ01,松江镇,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,K,茄,ɑ,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,波,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,跛,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,播,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,破,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,P,薄,,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,M,魔,o,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,M,摩,o,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,M,馍,o,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,M,蘑,o,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,T,朵,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,T,躲,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,T,剁,o,～面,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,T,妥,u,,
SJ01,松江镇,太湖片-苏沪嘉小片,,,戈,T,椭,u,,
