point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,调查材料
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,多,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,拖,a/əu,～舌头/～粪,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,他,a,其～,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,驼,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,陀,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,鸵,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,沱,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,舵,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,大,a/əu,～学、～饼/～葱,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,T,驮,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,N,挪,o,～用,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,N,哪,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,N,那,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,L,罗,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,L,锣,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,L,箩,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,L,萝,ɔ/əu,～卜,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,L,逻,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,TS,左,i/əu,～面,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,TS,佐,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,TS,搓,o/əu,～麻将/～衣服,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,TS,娑,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,歌,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,哥,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,柯,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,个,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,轲,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,可,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,蛾,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,鹅,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,俄,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,娥,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,我,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,K,饿,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,阿,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,K,茄,a,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,波,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,跛,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,簸,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,播,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,坡,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,玻,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,破,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,P,薄,u,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,魔,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,摩,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,馍,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,蘑,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,朵,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,躲,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,剁,,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,妥,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,椭,əu,,
TC01,太仓沙溪,太湖片-苏沪嘉小片,,,戈,T,唾,əu,,
