point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,桐庐方言志
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,多,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,拖,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,他,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,驼,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,驮,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,陀,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,鸵,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,沱,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,舵,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,大,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,T,驮,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,N,挪,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,N,哪,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,N,那,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,L,罗,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,L,锣,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,L,箩,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,L,萝,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,L,逻,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,TS,左,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,TS,佐,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,TS,搓,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,TS,娑,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,歌,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,哥,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,柯,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,个,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,轲,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,可,,,
TL01,桐庐镇,太湖片-临绍小片,,,歌,K,蛾,,,
