point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,上海地区方言调查研究
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,T,多,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,T,拖,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,T,他,ᴀ,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,T,驼,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,T,驮,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,T,陀,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,T,鸵,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,T,沱,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,T,舵,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,T,大,u/ᴀ,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,T,驮,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,N,挪,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,N,哪,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,N,那,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,L,罗,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,L,锣,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,L,箩,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,L,萝,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,L,逻,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,TS,左,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,TS,佐,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,TS,搓,o,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,TS,娑,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,歌,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,哥,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,柯,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,个,ɤ,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,轲,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,可,o,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,蛾,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,鹅,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,俄,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,娥,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,我,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,K,饿,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,Ø,河,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,Ø,何,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,Ø,荷,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,Ø,贺,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,Ø,阿,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,歌,Ø,屙,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,K,茄,ᴀ,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,波,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,菠,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,跛,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,簸,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,簸,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,播,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,颇,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,坡,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,玻,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,破,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,婆,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,P,薄,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,M,魔,o,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,M,摩,o,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,M,馍,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,M,蘑,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,M,磨,o,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,T,朵,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,T,躲,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,T,剁,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,T,妥,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,T,椭,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,T,唾,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,T,砣,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,T,惰,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,T,垛,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,T,堕,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,N,挼,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,N,糯,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,N,懦,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,L,骡,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,L,螺,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,L,脶,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,L,啰,,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,L,裸,u,,
XZ01,莘庄,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
