point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,叶祥苓、郭宗俊1991
YX01,宜兴,太湖片-毗陵小片,,,歌,T,多,ɷ,宜兴-宜城城区方言,
YX01,宜兴,太湖片-毗陵小片,,,歌,T,拖,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,T,他,o,,
YX01,宜兴,太湖片-毗陵小片,,,歌,T,驼,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,T,驮,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,T,陀,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,T,鸵,,,
YX01,宜兴,太湖片-毗陵小片,,,歌,T,沱,,,
YX01,宜兴,太湖片-毗陵小片,,,歌,T,舵,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,T,大,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,T,驮,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,N,挪,,,
YX01,宜兴,太湖片-毗陵小片,,,歌,N,哪,o,～家,
YX01,宜兴,太湖片-毗陵小片,,,歌,N,那,,,
YX01,宜兴,太湖片-毗陵小片,,,歌,L,罗,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,L,锣,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,L,箩,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,L,萝,ɷ/au,/~卜,
YX01,宜兴,太湖片-毗陵小片,,,歌,L,逻,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,TS,左,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,TS,佐,,,
YX01,宜兴,太湖片-毗陵小片,,,歌,TS,搓,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,TS,娑,,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,歌,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,哥,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,柯,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,个,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,轲,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,可,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,蛾,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,鹅,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,俄,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,娥,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,我,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,K,饿,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,Ø,荷,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,Ø,河,ɷ,,
YX01,宜兴,太湖片-毗陵小片,,,歌,Ø,何,ɷ,,
