point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,诸暨南部地区方言音韵比较研究
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,多,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,拖,a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,他,a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,驼,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,驮,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,陀,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,鸵,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,沱,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,舵,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,大,a,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,T,驮,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,N,挪,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,N,哪,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,N,那,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,L,罗,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,L,锣,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,L,箩,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,L,萝,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,L,逻,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,TS,左,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,TS,佐,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,TS,搓,ʊ/ɤɯ,～麻将/～衣服,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,TS,娑,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,歌,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,哥,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,柯,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,个,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,轲,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,可,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,蛾,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,鹅,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,俄,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,娥,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,我,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,K,饿,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,荷,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,河,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,何,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,荷,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,贺,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,阿,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,歌,Ø,屙,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,茄,ia,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,波,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,菠,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,跛,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,簸,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,簸,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,播,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,颇,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,坡,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,玻,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,破,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,婆,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,P,薄,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,魔,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,磨,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,摩,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,馍,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,蘑,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,M,磨,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,朵,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,躲,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,剁,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,妥,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,椭,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,唾,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,砣,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,惰,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,垛,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,T,堕,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,N,挼,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,N,糯,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,N,懦,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,骡,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,螺,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,脶,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,啰,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,裸,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,瘰,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,L,摞,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,锉,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,莝,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,矬,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,坐, ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,座,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,蓑,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,梭,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,唆,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,莎,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,锁,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,琐,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,TS,唢,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,过,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,锅,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,戈,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,果,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,裹,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,餜,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,过,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,科,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,窠,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,棵,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,髁,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,蝌,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,颗,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,课,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,讹,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,K,卧,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,火,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,伙,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,货,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,和,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,禾,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,祸,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,夥,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,和,ɤɯ,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,倭,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,踒,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,窝,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,涡,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,莴,,,
ZJ02,诸暨璜山镇,太湖片-临绍小片,,,戈,Ø,涴,,,
