point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
JJ01,靖江城区,太湖片-毗陵小片,,,歌,T,多,ʌɤ,钱乃荣当代吴语研究
JJ01,靖江城区,太湖片-毗陵小片,,,歌,T,拖,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,T,他,ɑ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,T,驼,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,T,驮,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,T,陀,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,T,鸵,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,T,沱,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,T,舵,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,T,大,ʌɤ/æ/ɑ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,T,驮,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,N,挪,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,N,哪,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,N,那,ɑ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,L,罗,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,L,锣,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,L,箩,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,L,萝,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,L,逻,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,TS,左,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,TS,佐,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,TS,搓,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,TS,娑,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,歌,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,哥,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,柯,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,个,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,轲,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,可,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,蛾,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,鹅,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,俄,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,娥,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,我,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,K,饿,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,Ø,荷,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,Ø,河,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,Ø,何,,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,Ø,荷,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,Ø,贺,ʌɤ,
JJ01,靖江城区,太湖片-毗陵小片,,,歌,Ø,阿,ʌɤ,～胶
JJ01,靖江城区,太湖片-毗陵小片,,,歌,Ø,屙,,
