point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,T,多,əɯ,刘俐李、侯超2013
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,T,拖,a,～鼻涕
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,T,他,a,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,T,驼,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,T,驮,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,T,陀,,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,T,鸵,,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,T,沱,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,T,舵,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,T,大,əɯ/a,白读，文读
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,T,驮,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,N,挪,a,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,N,哪,a,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,N,那,a,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,L,罗,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,L,锣,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,L,箩,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,L,萝,ɒ/əɯ,～卜
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,L,逻,,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,TS,左,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,TS,佐,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,TS,搓,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,TS,娑,,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,歌,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,哥,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,柯,,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,个,əɯ,～人
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,轲,,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,可,o,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,蛾,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,鹅,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,俄,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,娥,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,我,əɯ,
JY01,江阴城区澄江镇,太湖片-毗陵小片,,,歌,K,饿,əɯ,
