point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
LY01,溧阳,太湖片-毗陵小片,,,歌,T,多,ʌɯ,钱乃荣当代吴语研究
LY01,溧阳,太湖片-毗陵小片,,,歌,T,拖,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,T,他,ᴀ,
LY01,溧阳,太湖片-毗陵小片,,,歌,T,驼,,
LY01,溧阳,太湖片-毗陵小片,,,歌,T,驮,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,T,陀,,
LY01,溧阳,太湖片-毗陵小片,,,歌,T,鸵,,
LY01,溧阳,太湖片-毗陵小片,,,歌,T,沱,,
LY01,溧阳,太湖片-毗陵小片,,,歌,T,舵,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,T,大,ʌɯ/o/ᴀ,
LY01,溧阳,太湖片-毗陵小片,,,歌,T,驮,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,N,挪,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,N,哪,,
LY01,溧阳,太湖片-毗陵小片,,,歌,N,那,ɔ,
LY01,溧阳,太湖片-毗陵小片,,,歌,L,罗,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,L,锣,,
LY01,溧阳,太湖片-毗陵小片,,,歌,L,箩,,
LY01,溧阳,太湖片-毗陵小片,,,歌,L,萝,,
LY01,溧阳,太湖片-毗陵小片,,,歌,L,逻,,
LY01,溧阳,太湖片-毗陵小片,,,歌,TS,左,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,TS,佐,,
LY01,溧阳,太湖片-毗陵小片,,,歌,TS,搓,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,TS,娑,,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,歌,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,哥,,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,柯,,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,个,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,轲,,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,可,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,蛾,,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,鹅,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,俄,,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,娥,,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,我,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,K,饿,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,Ø,荷,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,Ø,河,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,Ø,何,,
LY01,溧阳,太湖片-毗陵小片,,,歌,Ø,荷,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,Ø,贺,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,歌,Ø,阿,    ,～胶
LY01,溧阳,太湖片-毗陵小片,,,歌,Ø,屙,,
LY01,溧阳,太湖片-毗陵小片,,,戈,K,茄,io,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,波,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,菠,,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,跛,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,簸,,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,簸,,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,播,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,颇,,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,坡,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,玻,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,破,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,婆,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,戈,P,薄,ʌɯ,
LY01,溧阳,太湖片-毗陵小片,,,戈,M,魔,,
