韵,声组,汉字,瓯江片
,,,/
,,,12
,,,郑张尚芳2008
,,,温州
歌,T,多,tɤu
歌,T,拖,t‘ɤu
歌,T,他,t‘a/t‘uɔ
歌,T,驼,dɤu
歌,T,驮,dɤu
歌,T,陀,dɤu
歌,T,鸵,dɤu
歌,T,沱,dɤu
歌,T,舵,dɤu
歌,T,大,da/dɤu白/t‘ɤu太
歌,T,驮,dɤu
歌,N,挪,no
歌,N,哪,na
歌,N,那,na白
歌,L,罗,lɤu
歌,L,锣,lɤu
歌,L,箩,lɤu
歌,L,萝,lo～卜
歌,L,逻,lɤu
歌,TS,左,tsɤu
歌,TS,佐,tsɤu
歌,TS,搓,ts‘o
歌,TS,娑,so
歌,K,歌,ku
歌,K,哥,ku/ko白求三～拜四嫂
歌,K,柯,k‘u
歌,K,个,
歌,K,轲,k‘u
歌,K,可,
歌,K,蛾,ŋ
歌,K,鹅,ŋo白
歌,K,俄,
歌,K,娥,
歌,K,我,ŋ
歌,K,饿,ŋ
歌,Ø,荷,vu
歌,Ø,河,vu
歌,Ø,何,vu
歌,Ø,荷,vu
歌,Ø,贺,vu
歌,Ø,阿,vu～胶/a/o～弥陀佛
歌,Ø,屙,vu
戈,K,茄,ka雪～
戈,P,波,pu/pøy白宁～
戈,P,菠,pu/pa～薐菜
戈,P,跛,pu
戈,P,簸,pu
戈,P,簸,pu
戈,P,播,pu/pøy
戈,P,颇,p'u
戈,P,坡,pu
戈,P,玻,pu
戈,P,破,p‘øy
戈,P,婆,bu/bøy
戈,P,薄,bo/bu~荷
戈,M,魔,møy
戈,M,磨,møy
戈,M,摩,mu
戈,M,馍,
戈,M,蘑,
戈,M,磨,møy
戈,T,朵,to
戈,T,躲,to/tɤu
戈,T,剁,to/tɤu
戈,T,妥,t‘ɤu
戈,T,椭,
戈,T,唾,
戈,T,砣,
戈,T,惰,
戈,T,垛,
戈,T,堕,
戈,N,挼,
戈,N,糯,no/nɤu/noŋ白～米
戈,N,懦,nɤu
戈,L,骡,lɤu
戈,L,螺,lɤu
戈,L,脶,
戈,L,啰,lɤu
戈,L,裸,lɤu
戈,L,瘰,
戈,L,摞,lɤu
戈,TS,锉,ts'o/tsɤu白
戈,TS,莝,ts'o
戈,TS,矬,zo
戈,TS,坐,zo
戈,TS,座,zo/2dzo一～屋
戈,TS,蓑,so
戈,TS,梭,so/sɤu
戈,TS,唆,so
戈,TS,莎,so
戈,TS,锁,so
戈,TS,琐,so
戈,TS,唢,so
戈,K,过,ku
戈,K,锅,ku
戈,K,戈,ku
戈,K,果,ku
戈,K,裹,ku
戈,K,餜,
戈,K,过,ku
戈,K,科,k‘u
戈,K,窠,k‘u
戈,K,棵,k‘u
戈,K,髁,
戈,K,蝌,
戈,K,颗,k‘u
戈,K,课,k‘u
戈,K,讹,ŋ
戈,K,卧,ŋ
戈,Ø,火,fu
戈,Ø,伙,fu
戈,Ø,货,fu
戈,Ø,和,vu
戈,Ø,禾,vu
戈,Ø,祸,vu
戈,Ø,夥,fu
戈,Ø,和,vu
戈,Ø,倭,vu
戈,Ø,踒,vu
戈,Ø,窝,vu
戈,Ø,涡,vu
戈,Ø,莴,vu
戈,Ø,涴,
戈,Ø,瘸,
戈,Ø,靴,
戈,Ø,𦚢,
麻,P,巴,po
麻,P,芭,po
麻,P,疤,po
麻,P,笆,po
麻,P,吧,
麻,P,把,po
麻,P,靶,po
麻,P,霸,po
麻,P,欛,
麻,P,壩,po
麻,P,坝,po
麻,P,爸,pa
麻,P,怕,p‘o
麻,P,帕,
麻,P,爬,bo
麻,P,琶,bo
