point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
QD01,启东吕四,太湖片-毗陵小片,,,歌,T,多,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,T,拖,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,T,他,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,T,驼,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,T,驮,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,T,陀,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,T,鸵,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,T,沱,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,T,舵,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,T,大,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,T,驮,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,N,挪,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,N,哪,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,N,那,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,L,罗,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,L,锣,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,L,箩,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,L,萝,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,L,逻,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,TS,左,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,TS,佐,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,TS,搓,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,TS,娑,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,歌,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,哥,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,柯,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,个,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,轲,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,可,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,蛾,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,鹅,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,俄,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,娥,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,我,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,K,饿,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,Ø,荷,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,Ø,河,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,Ø,何,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,Ø,荷,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,Ø,贺,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,Ø,阿,,
QD01,启东吕四,太湖片-毗陵小片,,,歌,Ø,屙,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,K,茄,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,波,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,菠,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,跛,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,簸,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,簸,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,播,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,颇,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,坡,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,玻,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,破,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,婆,,
QD01,启东吕四,太湖片-毗陵小片,,,戈,P,薄,,
